# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-08-04 at 15:59:31
#
# Requested input R.A. = 262.75616 degrees
# Requested input Dec. = -21.40123 degrees
# Requested JD start = 2458231.891227 days
# Requested JD end = 2458345.025359 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 281 16 3 ZTF_r 492417116315 0 3.0962 182.173 14.1444 26.1027 0.000191828 0.0481693 0.12582 8.23036e-05 651 30. 0.227771 0.239124 19.4995 26.1027 1 2458246.9171181 281120263 -5.37000043327596 72.9579122341073 -0.0818760201333713 2.10710856155735 -14.3932003993123 106.432841226973 -0.136143499178156 1.14035556898979 0.130247318792988 19.6639999389648 0.0700000002980232 1.52600002288818 -0.172999992966652 2458338.689444 2458636.898634 0
 1 281 16 3 ZTF_r 493438406315 0 2.5485 189.201 13.7897 26.1268 0.000154521 0.0433663 0.129871 6.71852e-05 642 30. 0.198093 0.203026 19.829 26.1268 1 2458247.9384028 281120263 -6.65126894958008 57.6140584004956 -0.128419460723187 2.16369465523009 17.1781186248972 93.3184928593546 0.185320333754659 1.11937957514197 0.130247318792988 19.6639999389648 0.0700000002980232 1.52600002288818 -0.172999992966652 2458338.689444 2458636.898634 0
 2 281 16 3 ZTF_r 495417706315 8 4.0085 166.501 13.2044 25.9857 0.000509708 0.0737345 0.163443 0.000217201 588 30. 0.309993 0.331829 19.3462 25.9857 1 2458249.9177083 281120263 -162.91713235909 86.5608651233626 -2.09363017904447 2.58562709773498 -222.325541255586 110.443747242442 -2.0265784361345 1.26279173682188 0.130247318792988 19.6639999389648 0.0700000002980232 1.52600002288818 -0.172999992966652 2458338.689444 2458636.898634 0
 3 281 16 3 ZTF_r 495487486315 0 4.117 156.628 13.688 25.9336 0.000440442 0.0688635 0.144307 0.000187381 601 30. 0.282732 0.290211 19.1098 25.9336 1 2458249.9874884 281120263 -144.959358956096 86.6763932171205 -1.86037386473581 1.37339902340447 -210.037108595179 110.969793667273 -1.90548899496057 1.20054301800167 0.130247318792988 19.6639999389648 0.0700000002980232 1.52600002288818 -0.172999992966652 2458338.689444 2458636.898634 0
 4 281 16 3 ZTF_r 502480466315 0 3.2397 180.877 22.9356 26.0876 0.000157507 0.0437291 0.0986984 6.85564e-05 627 30. 0.216905 0.231308 19.2969 26.0876 1 2458256.980463 281120263 -72.583733731582 66.5040449632196 -1.21407647707393 2.24577723377235 -210.321807407996 102.064351805943 -2.07455720959574 1.07686030580182 0.130247318792988 19.6639999389648 0.0700000002980232 1.52600002288818 -0.172999992966652 2458338.689444 2458636.898634 0
 5 281 16 3 ZTF_r 519389616315 0 2.4864 198.25 22.931 26.1677 9.34913e-05 0.0327316 0.0801738 4.11131e-05 595 30. 0.164499 0.167973 19.4902 26.1677 1 2458273.8896181 281120263 -57.3640345764997 66.6795980330787 -0.95697703712239 2.20129071582367 -36.0411516183557 116.2254464331 -0.312185428937155 1.07511170264472 0.130247318792988 19.6639999389648 0.0700000002980232 1.52600002288818 -0.172999992966652 2458338.689444 2458636.898634 0
 6 281 16 3 ZTF_g 519445826315 0 3.59 157.434 11.4955 26.1471 0.00103256 0.066426 -0.112871 0.000496357 165 30. 0.196939 0.160771 19.3229 26.1471 1 2458273.9458218 281120163 27.4562971363925 65.5098276641882 0.466219366966051 0.976194366533126 48.5474284146752 93.7774422271567 0.521174356833403 1.07522847382925 0.413799326017748 22.1580001831055 0.282999992370605 0.741999983787537 -0.164000004529953 2458273.945822 2458608.897974 0
 7 281 16 3 ZTF_g 520377516315 0 2.3403 173.422 8.78588 26.1982 0.000276749 0.0545208 -0.0857629 0.00012323 532 30. 0.108567 0.118007 20.3991 26.1982 1 2458274.8775116 281120163 -37.0253280389386 29.5987738467893 -1.39148969899108 1.00112212153043 -12.4592313442074 50.4550525707443 -0.248600374889399 1.07252082518804 0.413799326017748 22.1580001831055 0.282999992370605 0.741999983787537 -0.164000004529953 2458273.945822 2458608.897974 0
 8 281 16 3 ZTF_g 522375986315 0 2.615 171.669 6.90931 26.2254 0.000268926 0.0560069 -0.136126 0.000116743 612 30. 0.142292 0.146919 20.4671 26.2254 1 2458276.8759838 281120163 -39.1033643340033 26.2647794630508 -1.65613283208077 1.12367835692404 -91.8043228422361 42.7511941527559 -2.16187248263272 1.0730800440976 0.413799326017748 22.1580001831055 0.282999992370605 0.741999983787537 -0.164000004529953 2458273.945822 2458608.897974 0
