###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59251.305178  21.103  0.760    13   10 c  0   1.27  44.00000  22.00000  7658.78  5421.36 2.57 2.32 -59.8 -0.406 19.56 21.21 02a59251o0135c
59251.308849 -21.809  1.490    -7   10 c  0   1.17  44.00000  22.00000  7641.32  5381.02 2.56 2.28 -54.0 -0.410 19.54 21.20 02a59251o0143c
59251.314345  21.103  0.753    13   10 c  0   1.67  44.00000  22.00000  7697.30  5459.12 2.54 2.30 -54.8 -0.407 19.51 21.19 02a59251o0155c
59251.325821  23.378  7.083     2   12 c  0   1.06  44.00000  22.00000  7718.70  5342.24 2.51 2.28 -55.7 -0.408 19.50 21.11 02a59251o0180c
59253.229045  22.619  3.120     3   10 c  0   1.14  44.00000  22.00000  6287.26   676.12 2.68 2.57 -55.3 -0.393 19.58 21.36 01a59253o0019c
59253.232270 -22.298  1.857    -4    8 c  0   1.59  44.00000  22.00000  6307.50   715.30 2.69 2.52 -57.7 -0.376 19.58 21.38 01a59253o0026c
59253.237422  22.664  2.667     3    8 c  0   1.39  44.00000  22.00000  6250.96   637.15 2.58 2.40 -77.1 -0.383 19.65 21.39 01a59253o0037c
59253.249679 -21.174  0.850   -12   10 c  0   0.81  44.00000  22.00000  6233.25   752.39 2.46 2.30 -72.8 -0.404 19.67 21.37 01a59253o0063c
59255.233208  21.134  0.737    13    9 c  0   1.29  44.00000  22.00000  7670.10  5425.85 2.53 2.37  46.2 -0.391 19.56 21.13 02a59255o0059c
59255.236905 -23.824 10.375    -1   11 c  0   0.91  44.00000  22.00000  7649.90  5385.77 2.49 2.41  48.2 -0.398 19.55 21.13 02a59255o0067c
59255.242403  20.915  0.664    16   10 c  0   1.35  44.00000  22.00000  7707.01  5462.96 2.54 2.44  48.9 -0.394 19.53 21.12 02a59255o0079c
59255.257196  22.716  3.682     3   11 c  0   1.26  44.00000  22.00000  7729.44  5346.76 2.47 2.43  57.5 -0.394 19.53 21.08 02a59255o0111c
59257.288953  21.216  0.656    12    8 c  0   1.35  44.00000  22.00000   954.32  5245.47 2.25 2.14 -86.1 -0.408 19.71 21.37 01a59257o0181c
59257.292663  23.749  7.636     1    9 c  0   1.70  44.00000  22.00000   974.16  5283.85 2.35 2.24 -83.2 -0.410 19.66 21.37 01a59257o0189c
59257.298658 -21.177  0.797   -12   10 c  0   1.03  44.00000  22.00000   914.98  5205.37 2.31 2.17 -84.5 -0.409 19.63 21.34 01a59257o0202c
59257.310638  20.774  0.571    18   10 c  0   1.00  44.00000  22.00000   893.93  5320.93 2.44 2.34 -78.8 -0.403 19.61 21.32 01a59257o0228c
59261.220855 -22.696  3.882    -3   12 c  0   1.21  44.00000  22.00000   944.19  5254.45 2.18 2.11 -78.1 -0.404 19.35 20.36 01a59261o0031c
59261.225089 -21.560  1.069    -9    9 c  0   1.35  44.00000  22.00000   964.63  5292.32 2.19 2.02 -89.9 -0.411 19.57 20.85 01a59261o0040c
59261.230268 -21.091  0.679   -13    9 c  0   1.46  44.00000  22.00000   905.87  5212.80 2.31 2.13 -85.1 -0.408 19.62 21.05 01a59261o0051c
59261.241829  21.663  1.414     8   11 c  0   1.12  44.00000  22.00000   887.44  5328.73 2.54 2.29  81.9 -0.400 19.56 21.10 01a59261o0076c
59265.294114 -18.315  1.345  -171  231 o  0   1.41  44.00000  22.00000  6042.12  9324.35 2.00 1.92  80.0 -0.387 15.97 15.37 01a59265o0039o
59265.297335 -17.802  0.804  -275  221 o  0   1.40  44.00000  22.00000  6061.09  9362.65 2.01 1.89 -82.1 -0.365 16.30 15.90 01a59265o0046o
59265.303322  17.589 16.277   334 5442 o  0   1.31  44.00000  22.00000  6003.26  9285.95 2.21 2.08  83.1 -0.429 13.77 13.29 01a59265o0059o
59265.313521 -17.197  0.839  -480  403 o  0   0.90  44.00000  22.00000  5980.16  9406.32 2.19 2.05  82.8 -0.421 15.35 15.00 01a59265o0081o
59267.266969  20.933  1.121    15   17 o  0   1.01  44.00000  22.00000  4583.24  3178.29 2.18 1.96  40.2 -0.446 18.98 19.48 02a59267o0107o
59267.270637 -21.041  1.416   -14   20 o  0   1.21  44.00000  22.00000  4564.30  3139.39 2.20 1.99  40.5 -0.438 18.94 19.47 02a59267o0115o
59267.276595  20.884  1.071    16   17 o  0   0.97  44.00000  22.00000  4622.50  3216.57 2.28 1.98  42.1 -0.439 18.95 19.45 02a59267o0128o
59267.286695 -20.824  1.107   -17   19 o  0   1.19  44.00000  22.00000  4643.78  3098.94 2.24 1.95  42.8 -0.445 18.93 19.41 02a59267o0150o
59269.218684 -20.247  0.717   -29   21 o  0   1.11  44.00000  22.00000  6040.69  9329.86 1.81 1.67 -75.6 -0.411 18.83 18.74 01a59269o0022o
59269.227591 -20.796  0.751   -17   13 o  0   1.13  44.00000  22.00000  6058.83  9369.25 1.83 1.67 -78.0 -0.419 19.25 19.57 01a59269o0041o
